movieId,title,genres,avg_rating,num_ratings,genres_clean
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.8974375697494095,68997,adventure animation children comedy fantasy
2,Jumanji (1995),Adventure|Children|Fantasy,3.2757576805978412,28904,adventure children fantasy
3,Grumpier Old Men (1995),Comedy|Romance,3.1394472361809047,13134,comedy romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.8453314326443335,2806,comedy drama romance
5,Father of the Bride Part II (1995),Comedy,3.0596016420860574,13154,comedy
6,Heat (1995),Action|Crime|Thriller,3.8682773821634453,29490,action crime thriller
7,Sabrina (1995),Comedy|Romance,3.363967611336032,13585,comedy romance
8,Tom and Huck (1995),Adventure|Children,3.1155629139072847,1510,adventure children
9,Sudden Death (1995),Action,2.9877226769378913,4154,action
10,GoldenEye (1995),Action|Adventure|Thriller,3.4278499722855207,32474,action adventure thriller
11,"American President, The (1995)",Comedy|Drama|Romance,3.6571600355518377,19127,comedy drama romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.649131047440113,4258,comedy horror
13,Balto (1995),Adventure|Animation|Children,3.3540579022306596,2107,adventure animation children
14,Nixon (1995),Drama,3.428302812295618,6116,drama
15,Cutthroat Island (1995),Action|Adventure|Romance,2.7308809293320424,3099,action adventure romance
16,Casino (1995),Crime|Drama,3.8383487308278768,22298,crime drama
17,Sense and Sensibility (1995),Drama|Romance,3.9451260617500337,22251,drama romance
18,Four Rooms (1995),Comedy,3.403488935551607,6191,comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,2.663910016499658,24849,comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.8714584300975385,4306,action comedy crime drama thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,3.5650851826493213,24829,comedy crime thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.315886401085587,10317,crime drama horror mystery thriller
23,Assassins (1995),Action|Crime|Thriller,3.1504133983464064,4717,action crime thriller
24,Powder (1995),Drama|Sci-Fi,3.186060532979621,8293,drama sci-fi
25,Leaving Las Vegas (1995),Drama|Romance,3.6761820199778024,22525,drama romance
26,Othello (1995),Drama,3.6079586009992863,2802,drama
27,Now and Then (1995),Children|Drama,3.412597114317425,1802,children drama
28,Persuasion (1995),Drama|Romance,4.041238670694864,3310,drama romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.929884202698396,9413,adventure drama fantasy mystery sci-fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.6296153846153847,1300,crime drama
31,Dangerous Minds (1995),Drama,3.2411718673579184,10223,drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.910185436454093,55275,mystery sci-fi thriller
33,Wings of Courage (1995),Adventure|Romance|IMAX,3.014925373134328,67,adventure romance imax
34,Babe (1995),Children|Drama,3.586935972643109,35969,children drama
35,Carrington (1995),Drama|Romance,3.485303941215765,1497,drama romance
36,Dead Man Walking (1995),Crime|Drama,3.920561606691484,21759,crime drama
37,Across the Sea of Time (1995),Documentary|IMAX,2.9823529411764707,85,documentary imax
38,It Takes Two (1995),Children|Comedy,2.9193333333333333,750,children comedy
39,Clueless (1995),Comedy|Romance,3.4290240397177945,30616,comedy romance
40,"Cry, the Beloved Country (1995)",Drama,3.628409090909091,880,drama
41,Richard III (1995),Drama|War,3.8362394957983192,4760,drama war
42,Dead Presidents (1995),Action|Crime|Drama,3.0438084112149535,2568,action crime drama
43,Restoration (1995),Drama,3.458398133748056,2572,drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.669195008563739,12261,action adventure fantasy
45,To Die For (1995),Comedy|Drama|Thriller,3.3785192349022135,9306,comedy drama thriller
46,How to Make an American Quilt (1995),Drama|Romance,3.267851525636993,3179,drama romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.087198647666593,63298,mystery thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9902342503350994,15667,animation children drama musical romance
49,When Night Is Falling (1995),Drama|Romance,3.5285171102661597,263,drama romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.265070110701107,67750,crime mystery thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.526633746585417,9518,comedy drama romance
53,Lamerica (1994),Adventure|Drama,3.6792452830188678,159,adventure drama
54,"Big Green, The (1995)",Children|Comedy,2.815988647114475,1057,children comedy
55,Georgia (1995),Drama,3.2282838983050848,944,drama
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1.9594594594594594,74,adventure children comedy fantasy
57,Home for the Holidays (1995),Drama,3.3127294981640145,2451,drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3.9677502358692855,11659,comedy drama romance
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.5695876288659796,194,drama mystery
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.090638044126416,6708,adventure children fantasy
61,Eye for an Eye (1996),Drama|Thriller,3.3109153416415986,2327,drama thriller
62,Mr. Holland's Opus (1995),Drama,3.711861526510002,20596,drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3.104228486646884,2696,comedy crime
64,Two if by Sea (1996),Comedy|Romance,2.827071290944123,2076,comedy romance
65,Bio-Dome (1996),Comedy,2.373380335365854,5248,comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.1339544513457556,2415,action sci-fi thriller
67,Two Bits (1995),Drama,3.3184357541899443,179,drama
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.428686543110395,1241,comedy romance
69,Friday (1995),Comedy,3.550704504862076,5039,comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.3432596291012837,16824,action comedy horror thriller
71,Fair Game (1995),Action,2.3422818791946307,1341,action
72,Kicking and Screaming (1995),Comedy|Drama,3.478955007256894,1378,comedy drama
73,"Misérables, Les (1995)",Drama|War,3.796613011401744,2982,drama war
74,Bed of Roses (1996),Drama|Romance,3.2896213183730714,3565,drama romance
75,Big Bully (1996),Comedy|Drama,2.4296610169491526,590,comedy drama
76,Screamers (1995),Action|Sci-Fi|Thriller,3.0267387087835966,3609,action sci-fi thriller
77,Nico Icon (1995),Documentary,3.425339366515837,221,documentary
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.1736883942766294,1258,action crime drama thriller
79,"Juror, The (1996)",Drama|Thriller,3.122461702885643,5614,drama thriller
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.7394957983193278,595,children drama
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.2526427061310783,3311,crime drama romance
82,Antonia's Line (Antonia) (1995),Comedy|Drama,4.010176125244619,2555,comedy drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.640916808149406,589,drama romance
84,Last Summer in the Hamptons (1995),Comedy|Drama,3.3765822784810124,158,comedy drama
85,Angels and Insects (1995),Drama|Romance,3.523122456529782,2703,drama romance
86,White Squall (1996),Action|Adventure|Drama,3.4791952446273435,4374,action adventure drama
87,Dunston Checks In (1996),Children|Comedy,2.3810408921933086,1076,children comedy
88,Black Sheep (1996),Comedy,3.1087839084701976,5419,comedy
89,Nick of Time (1995),Action|Thriller,3.127209504491452,3451,action thriller
90,The Journey of August King (1995),Drama,3.3440366972477062,218,drama
92,Mary Reilly (1996),Drama|Horror|Thriller,2.841313559322034,2360,drama horror thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.4981220657276997,2130,comedy horror romance
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.5247252747252746,4186,comedy drama romance
95,Broken Arrow (1996),Action|Adventure|Thriller,3.0771074451546037,23156,action adventure thriller
96,In the Bleak Midwinter (1995),Comedy|Drama,3.6786447638603694,487,comedy drama
97,"Hate (Haine, La) (1995)",Crime|Drama,4.004987175833571,3509,crime drama
98,Shopping (1994),Action|Thriller,2.614130434782609,92,action thriller
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.0894808743169397,732,documentary
100,City Hall (1996),Drama|Thriller,3.2182233991333655,4154,drama thriller
